time_s,z_low_um,z_high_um,z_mid_um,count
200.0,400.0,500.0,450.0,16
200.0,500.0,600.0,550.0,24
200.0,600.0,700.0,650.0,30
200.0,700.0,800.0,750.0,42
200.0,800.0,900.0,850.0,38
200.0,900.0,1000.0,950.0,50
200.0,1000.0,1100.0,1050.0,45
200.0,1100.0,1200.0,1150.0,53
200.0,1200.0,1300.0,1250.0,32
200.0,1300.0,1400.0,1350.0,45
200.0,1400.0,1500.0,1450.0,27
200.0,1500.0,1600.0,1550.0,22
200.0,1600.0,1700.0,1650.0,18
200.0,1700.0,1800.0,1750.0,12
200.0,1800.0,1900.0,1850.0,8
200.0,1900.0,2000.0,1950.0,5
210.0,0.0,100.0,50.0,7
210.0,100.0,200.0,150.0,8
210.0,200.0,300.0,250.0,6
210.0,300.0,400.0,350.0,14
210.0,400.0,500.0,450.0,15
210.0,500.0,600.0,550.0,24
210.0,600.0,700.0,650.0,28
210.0,700.0,800.0,750.0,41
210.0,800.0,900.0,850.0,37
210.0,900.0,1000.0,950.0,43
210.0,1000.0,1100.0,1050.0,58
210.0,1100.0,1200.0,1150.0,45
210.0,1200.0,1300.0,1250.0,46
210.0,1300.0,1400.0,1350.0,34
210.0,1400.0,1500.0,1450.0,27
210.0,1500.0,1600.0,1550.0,17
210.0,1600.0,1700.0,1650.0,22
210.0,1700.0,1800.0,1750.0,16
210.0,1800.0,1900.0,1850.0,6
210.0,1900.0,2000.0,1950.0,6
220.0,0.0,100.0,50.0,6
220.0,100.0,200.0,150.0,6
220.0,200.0,300.0,250.0,13
220.0,300.0,400.0,350.0,13
220.0,400.0,500.0,450.0,13
220.0,500.0,600.0,550.0,22
220.0,600.0,700.0,650.0,26
220.0,700.0,800.0,750.0,35
220.0,800.0,900.0,850.0,42
220.0,900.0,1000.0,950.0,48
220.0,1000.0,1100.0,1050.0,50
220.0,1100.0,1200.0,1150.0,56
220.0,1200.0,1300.0,1250.0,35
220.0,1300.0,1400.0,1350.0,40
220.0,1400.0,1500.0,1450.0,35
220.0,1500.0,1600.0,1550.0,22
220.0,1600.0,1700.0,1650.0,15
220.0,1700.0,1800.0,1750.0,10
220.0,1800.0,1900.0,1850.0,7
220.0,1900.0,2000.0,1950.0,6
230.0,0.0,100.0,50.0,9
230.0,100.0,200.0,150.0,4
230.0,200.0,300.0,250.0,8
230.0,300.0,400.0,350.0,20
230.0,400.0,500.0,450.0,14
230.0,500.0,600.0,550.0,19
